Company Name,Company Score,Alignment,Budget,Demand,Data Quality,Dev,F2P,Mobile,Fresh,Revenue,Funding,Headcount,Status,Volatility,Revenue ∆,Runway ∆,Headcount ∆,Hiring,URL,Country,FLAG,Notes,Discover Source,Created Date,Updated Date,Normalized Name
Moon Active,100.0,100.0,98.8,90.1,,100.0,100.0,100.0,0.0,97.4,99.7,99.6,55.5,74.4,63.3,98.2,0.0,0.0,http://www.moonactive.com,Israel,,,,,2025-09-09,moon active
Take-Two Interactive,99.0,100.0,99.2,84.6,,100.0,100.0,100.0,0.0,98.3,100.0,99.3,55.5,64.4,43.0,99.6,0.0,0.0,take2games.com,"Turkey, United Kingdom",,,,,2025-09-09,take two
"Dream Games, Ltd.",98.7,100.0,98.6,84.0,,100.0,100.0,100.0,0.0,98.4,99.7,96.8,55.5,63.4,42.5,98.0,0.0,0.0,http://www.dreamgames.com,Turkey,,,,,2025-09-09,dream
Tilting Point,96.4,100.0,84.3,94.5,,100.0,100.0,100.0,0.0,67.4,99.5,93.3,55.5,82.5,36.5,97.4,71.4,0.0,https://www.tiltingpoint.com/games/,"US, Canada",,,,,2025-09-09,tilting point
NEXTERS LLC,96.0,100.0,91.3,81.6,,100.0,100.0,100.0,0.0,82.1,98.2,98.4,55.5,59.0,44.1,85.5,0.0,0.0,http://nexters.com/,Cyprus,,,,,2025-09-09,nexters
Lockwood Publishing,95.7,100.0,78.1,100.0,,100.0,100.0,100.0,0.0,55.6,97.3,92.1,55.5,92.5,62.7,75.3,89.2,0.0,lockwoodpublishing.com,United Kingdom,,,,,2025-09-09,lockwood
Second Dinner,95.2,100.0,78.1,97.5,,100.0,100.0,100.0,0.0,53.8,99.2,92.7,55.5,88.1,88.7,98.9,0.0,0.0,http://www.seconddinner.com,United States,,,,,2025-09-09,second dinner
Discord Inc.,95.2,100.0,90.1,79.6,,100.0,100.0,100.0,0.0,77.3,99.9,99.7,55.5,55.2,35.1,87.8,0.0,0.0,http://www.discord.com,United States,,,,,2025-09-09,discord
Madbox,94.7,100.0,81.8,89.8,,100.0,100.0,100.0,0.0,65.3,96.5,91.1,55.5,73.9,73.9,58.0,34.3,0.0,madbox.io,France,,,,,2025-09-09,madbox
Trailmix Ltd,94.0,100.0,76.2,94.8,,100.0,100.0,100.0,0.0,53.4,98.5,85.8,55.5,83.0,82.5,94.6,0.0,0.0,https://www.trailmixgames.com/,United Kingdom,,,,,2025-09-09,trailmix
"Pocket Gems, Inc.",93.8,100.0,80.9,86.7,,100.0,100.0,100.0,0.0,59.0,99.3,94.9,55.5,68.3,81.8,0.0,80.6,0.0,http://www.pocketgems.com,US,,,,,2025-09-09,pocket gems
Product Madness,92.4,100.0,78.3,83.7,,100.0,100.0,100.0,0.0,94.6,44.9,98.7,75.5,30.4,57.9,0.0,0.0,0.0,https://www.productmadness.com/our-games/,UK,,,,,2025-09-09,product madness
Tripledot Studios Limited,92.1,100.0,72.2,91.4,,100.0,100.0,100.0,0.0,37.7,99.4,97.7,55.5,76.8,60.5,96.6,14.4,0.0,https://www.tripledotstudios.com,UK,,,,,2025-09-09,tripledot
Plummy Games OU,92.0,100.0,74.8,86.8,,100.0,100.0,100.0,0.0,55.9,94.3,81.1,72.0,41.6,19.7,74.5,0.0,0.0,plummygames.com,Estonia,,,,,2025-09-09,plummy ou
Pocket Worlds,91.6,100.0,76.6,82.6,,100.0,100.0,100.0,0.0,55.7,94.8,89.1,55.5,60.9,69.3,58.4,0.0,0.0,https://pocketworlds.com/,US,,,,,2025-09-09,pocket worlds
Candivore,91.2,100.0,87.1,64.7,,100.0,100.0,100.0,0.0,76.6,99.2,88.7,22.0,82.2,66.0,98.6,19.8,0.0,https://www.candivore.io/,ISR,,,,,2025-09-09,candivore
Oh BiBi socialtainment,91.2,100.0,67.9,93.4,,100.0,100.0,100.0,0.0,33.8,97.3,88.8,55.5,80.5,83.3,50.1,50.2,0.0,ohbibi.com,France,,,,,2025-09-09,oh bibi socialtainment
Wildlife Studios,90.9,100.0,89.4,59.8,,100.0,100.0,100.0,0.0,76.9,99.5,98.0,24.4,69.4,60.1,90.4,0.0,0.0,http://www.wildlifestudios.com,Brazil,,,,,2025-09-09,wildlife
Playtika LTD,90.6,100.0,98.6,44.5,,100.0,100.0,100.0,0.0,96.8,100.0,99.8,3.9,74.8,62.7,99.9,0.0,0.0,http://www.playtika.com,Israel,,,,,2025-09-09,playtika
Gamesture sp. z o.o.,90.5,100.0,61.9,99.2,,100.0,100.0,100.0,0.0,36.2,92.8,63.6,55.5,91.1,72.3,59.3,90.1,0.0,http://gamesture.com,Poland,,,,,2025-09-09,gamesture
Big Blue Bubble,90.1,100.0,74.3,78.4,,100.0,100.0,100.0,0.0,53.8,90.4,89.6,55.5,53.1,74.7,27.2,7.9,0.0,http://www.bigbluebubble.com,CAN,,,,,2025-09-09,big blue bubble
Jam City,89.9,100.0,92.5,50.3,,100.0,100.0,100.0,0.0,83.2,99.8,99.1,0.0,91.8,96.2,98.4,0.0,0.0,jamcity.com,United States,,,,,2025-09-09,jam city
"Uplandme, inc",89.6,100.0,62.0,94.6,,100.0,100.0,100.0,0.0,20.9,97.5,87.4,55.5,82.7,44.7,85.1,75.1,0.0,http://www.upland.me,United States,,,,,2025-09-09,uplandme
Yodo1 游道易,89.3,100.0,71.7,78.5,,100.0,100.0,100.0,0.0,42.7,96.7,89.8,55.5,53.3,78.1,29.5,0.0,0.0,https://www.yodo1.com,China,,,,,2025-09-09,yodo1
Gameloft,88.8,100.0,66.0,84.6,,100.0,100.0,100.0,0.0,69.4,44.9,92.7,55.5,64.4,68.1,9.3,78.8,0.0,http://www.gameloft.com,France,,,,,2025-09-09,gameloft
Nazara Technologies Private Limited,88.7,100.0,71.2,76.5,,100.0,100.0,100.0,0.0,37.7,99.7,92.3,36.1,81.1,75.2,99.3,0.0,0.0,nazara.com,IND,,,,,2025-09-09,nazara technologies
Murka Ltd.,88.6,100.0,65.0,85.1,,100.0,100.0,100.0,0.0,64.8,44.9,97.5,55.5,65.3,81.1,0.0,72.4,0.0,https://murka.com/,Cyprus,,,,,2025-09-09,murka
Homa Games,88.5,100.0,89.4,48.2,,100.0,100.0,100.0,0.0,76.5,99.4,98.8,24.9,47.5,12.6,97.5,0.0,0.0,https://www.homagames.com/,France,,,,,2025-09-09,homa
Supercell,88.4,100.0,98.9,33.4,,100.0,100.0,100.0,0.0,98.2,99.2,99.6,12.1,41.2,47.0,39.4,0.0,0.0,http://www.supercell.com,Finland,,,,,2025-09-09,supercell
Supersolid Ltd,88.2,100.0,69.3,76.6,,100.0,100.0,100.0,0.0,44.9,93.1,80.0,55.5,49.9,25.3,37.5,66.4,0.0,https://supersolid.com/games,UK,,,,,2025-09-09,supersolid
BANDAI NAMCO Entertainment Inc.,88.1,100.0,73.6,69.8,,100.0,100.0,100.0,0.0,89.7,44.9,87.0,55.5,37.4,71.3,0.0,0.0,0.0,https://www.bandainamcomobile.com/,Spain,,,,,2025-09-09,bandai namco
Mattel163 Limited,88.1,100.0,67.1,79.5,,100.0,100.0,100.0,0.0,76.6,44.9,83.6,55.5,55.2,62.4,0.0,71.4,0.0,mattel163.com,United States,,,,,2025-09-09,mattel163
tinyBuild LLC,88.1,100.0,60.6,89.1,,100.0,100.0,100.0,0.0,16.2,97.2,90.7,55.5,72.6,82.2,70.1,0.0,0.0,tinybuild.com,US,,,,,2025-09-09,tinybuild
MILLION VICTORIES,87.9,100.0,67.9,77.4,,100.0,100.0,100.0,0.0,43.4,95.8,72.0,55.5,51.3,33.1,80.9,0.0,0.0,http://millionvictories.com/,France,,,,,2025-09-09,million victories
PlayStudios,87.5,100.0,89.9,42.2,,100.0,100.0,100.0,0.0,78.3,99.5,97.7,0.5,76.2,70.6,93.5,0.0,0.0,https://www.playstudios.com,Mexico,,,,,2025-09-09,playstudios
Lilith 莉莉丝,87.5,100.0,94.3,35.9,,100.0,100.0,100.0,0.0,88.1,99.1,98.8,0.0,65.5,81.3,54.5,0.0,0.0,lilithgames.com,China,,,,,2025-09-09,lilith
Tactile Games ApS,87.2,100.0,64.6,78.9,,100.0,100.0,100.0,0.0,64.6,44.9,96.0,55.5,54.0,81.5,0.0,35.8,0.0,tactilegames.co.uk,Denmark,,,,,2025-09-09,tactile aps
Metacore Games,87.1,100.0,89.5,41.2,,100.0,100.0,100.0,0.0,78.0,99.4,96.2,7.2,63.5,44.2,96.1,0.0,0.0,https://metacoregames.com/games,Finland,,,,,2025-09-09,metacore
Paxie Games,87.1,100.0,69.8,70.4,,100.0,100.0,100.0,0.0,51.8,93.1,68.4,55.5,38.6,18.0,69.4,0.0,0.0,paxiegames.com,Turkey,,,,,2025-09-09,paxie
Spektra Games,86.9,100.0,60.0,84.3,,100.0,100.0,100.0,0.0,36.6,91.0,56.8,55.5,63.9,75.9,57.4,0.0,0.0,http://www.spektra.games,Turkey,,,,,2025-09-09,spektra
"Activision Publishing, Inc.",86.4,100.0,100.0,22.0,,100.0,100.0,100.0,0.0,100.0,99.9,99.7,1.3,38.0,0.0,90.5,0.0,0.0,https://www.activision.com/games?cc=US;i=1;q=*,USA,,,,,2025-09-09,activision
Scopely,86.4,100.0,99.3,22.8,,100.0,100.0,100.0,0.0,98.7,99.7,99.7,0.1,41.4,79.0,0.0,0.0,0.0,http://www.scopely.com,USA,,,,,2025-09-09,scopely
Beach Bum Ltd.,86.3,100.0,67.8,69.5,,100.0,100.0,100.0,0.0,71.9,44.9,96.2,55.5,36.8,70.2,0.0,0.0,0.0,http://www.bbumgames.com/,Israel,,,,,2025-09-09,beach bum
Ubisoft,86.2,100.0,64.6,74.0,,100.0,100.0,100.0,0.0,63.7,44.9,97.6,55.5,45.0,34.4,0.0,85.9,0.0,https://www.ubisoft.com,United Kingdom,,,,,2025-09-09,ubisoft
G5 Entertainment,85.6,100.0,65.0,70.6,,100.0,100.0,100.0,0.0,65.2,44.9,96.5,55.5,38.9,74.1,0.0,0.0,0.0,http://www.g5e.com/,Sweden,,,,,2025-09-09,g5
Scorewarrior,85.4,100.0,71.8,59.1,,100.0,100.0,100.0,0.0,83.8,44.9,90.7,55.5,18.0,34.2,0.0,0.0,0.0,https://scorewarrior.com,Cyprus,,,,,2025-09-09,scorewarrior
